feature,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,qc_cv_pct,d_ratio_pct,drift_r2,det_Dunn,det_French,det_LMU
FT-077,1077.705946239623,1077.768563445372,1077.6520562041094,0.0312999075267044,1212.451251396288,1244.5920870381033,1214.768238466988,1209.9249993158323,1196.2741310365736,1.2097870013554028,0.4713189809615101,79.16009194956338,0.09099122627082805,1.0,1.0,1.0
FT-095,1296.8385481999308,1296.9145054717983,1296.7740241235522,0.036768193553219,1325.9004245551305,1343.095463462498,1328.046641465988,1323.3579718833523,1306.2086665112035,1.192316158113339,1.0808389813914616,64.09814118691621,0.08753921510369359,1.0,1.0,1.0
FT-006,887.6403722304062,887.6915980212889,887.5931182401197,0.0264112827320949,609.3874587233016,637.95713424683,612.0491366757302,606.703800297612,594.2041830964115,1.275730582215387,1.6553315454435484,55.033069783323754,0.08046176045194253,1.0,1.0,1.0
FT-034,924.6284568794596,924.682414112093,924.5817555901798,0.0263176047659261,1071.194488617538,1086.3274333241209,1073.7937312742429,1068.6907211707253,1064.7380309052537,1.2846760771846035,1.0990183809709075,62.92453946635484,0.07283835020408749,1.0,1.0,1.0
FT-148,1633.0433891731236,1633.1408675210662,1632.9657943151262,0.0455721833872696,1473.397159852177,1482.8077298944656,1475.3327389874703,1471.072093996486,1466.4682648398627,1.0908347103613008,14.733909019311067,77.79272043089422,0.07256103337928578,0.9629629629629629,0.9230769230769231,0.9230769230769231
FT-115,1151.2577144686827,1151.3262326936172,1151.1904885859722,0.0345722197950819,1279.5426959634483,1288.5432278668477,1281.9849407416823,1276.8114177037737,1271.368124220108,1.3332454669452618,3.725849401867579,56.457206723154904,0.0718233248379191,1.0,1.0,1.0
FT-141,1223.2951510470548,1223.3681626700757,1223.2234845613689,0.0370316368547799,1273.6834926002612,1281.6057439004244,1276.2935617830008,1270.7086517721582,1268.6967123708414,1.306203097319729,17.11457871145962,95.86896242220992,0.07103023787854483,1.0,0.9615384615384616,1.0
FT-228,1618.0944863886548,1618.192836077746,1618.0103252971178,0.0474912638140451,1121.2716800177573,1134.893977078523,1123.7690728640036,1118.6476203191232,1106.596914117983,1.2163968224129416,8.265446455873853,91.77703708311098,0.06579093987235783,1.0,1.0,0.9615384615384616
FT-187,931.6249044842097,931.6794619563228,931.5717895491504,0.0272151232804482,1117.1180883829777,1133.3014284331186,1119.8573127218217,1114.319571095626,1106.9318692437553,1.3574661876097962,1.544601238564551,84.1308304926109,0.06501479562103656,1.0,1.0,1.0
FT-002,889.6499309783783,889.7022159640214,889.6015469549808,0.0255523760494532,609.0997423566134,627.7172511456954,611.7465009922388,606.4265533909693,596.7890463679698,1.324647395195849,2.3416550586444758,56.99212789861379,0.0620566745521763,1.0,1.0,1.0
FT-232,1151.7625057823254,1151.8278132907371,1151.7003322838043,0.0337363777691751,1245.2407794332655,1258.885828041167,1247.7170349348398,1242.597248836875,1232.0764022275648,1.318578168780149,0.7730196102268503,40.31182446205974,0.06091726424602153,1.0,1.0,1.0
FT-039,1024.6867091528734,1024.7462095090473,1024.6320318882358,0.0302468395928712,1095.258554693031,1102.7683739040208,1097.9305754275408,1092.8018718375124,1078.4275768114187,1.280644822824388,0.7386819152497128,62.39416844595037,0.060799436727039684,1.0,1.0,1.0
FT-118,1560.0017940800249,1560.090017053007,1559.919869866818,0.0433290812359491,1455.4088624671206,1469.8380283733015,1457.1646166902804,1453.1566235223015,1441.8293720287295,1.0131394302246124,6.375336285554422,37.39316607501584,0.060679064472186295,0.9629629629629629,1.0,0.9230769230769231
FT-045,923.1220202532094,923.1748329305268,923.0750959305832,0.026666860202454,1071.5859281352352,1095.0634189274017,1074.300955170282,1068.7521554752243,1064.7794972295344,1.329186310317866,0.6390645254074284,52.33801653468031,0.05967975102768802,1.0,1.0,1.0
FT-004,888.6453654740943,888.696941107057,888.6002022302245,0.0261611624589508,609.2556518766722,632.996441523236,612.0087323125949,606.7788089451603,595.4616877237953,1.2546838991479563,2.025168498239066,57.05589786086005,0.05960150462626758,1.0,1.0,1.0
FT-035,924.1258165788284,924.180160162224,924.0777586734384,0.0272409259607433,1057.66078474932,1064.7259970025725,1060.338482301454,1055.0311780453726,1043.0294036865268,1.2380418932721453,0.690120345256633,50.24859471222912,0.05511974773155482,1.0,1.0,1.0
FT-180,1846.2712907601397,1846.3774994429132,1846.1786216070363,0.0533862657772983,1057.5333992700469,1063.1384947133608,1060.249283829451,1054.8385991324435,1047.2597561326115,1.3137241358138774,15.832511715547716,64.14257309722838,0.05073009205184663,0.9259259259259259,1.0,0.8846153846153846
FT-233,1179.778005634704,1179.8471969424174,1179.7162683397833,0.0348061923921688,1244.6512806591527,1258.3621313912536,1247.0162825638563,1242.1525013996577,1231.8023332868306,1.2082635774533983,0.804264746743469,64.68651397459631,0.04790982630680562,1.0,1.0,1.0
FT-144,1632.5484775521786,1632.6461105251813,1632.4546442621267,0.0466912860728051,1473.171101763048,1482.4374332428004,1475.4512352411034,1470.6162300679728,1466.381916046143,1.1104967430642156,12.629959808101725,83.38126902286265,0.04768282668496398,0.9629629629629629,0.9615384615384616,0.9230769230769231
FT-191,996.1601236401428,996.2186492772656,996.110795668755,0.0284715935311538,1136.386402786609,1153.94223276774,1138.371931479331,1134.0748031589246,1126.063989003498,1.108437168086034,0.8331202025802418,87.51919378206681,0.04723275171310076,1.0,1.0,1.0
FT-049,1097.2225774589213,1097.2878628497194,1097.1653132091003,0.0314364831833364,1176.9292956095635,1192.3969943706786,1179.3552542462571,1174.287214808062,1163.250109913586,1.1924514707526237,0.9556392311509089,38.585308030644775,0.04664221284153226,1.0,1.0,1.0
FT-044,923.1212556300736,923.1751342108996,923.074014873022,0.026964574266534,1057.6205174785268,1064.765986981599,1060.2868398891017,1054.9388995609593,1041.2142873846992,1.2744490931735233,0.4777143944783724,40.63756114460394,0.04644327260704934,1.0,1.0,1.0
FT-031,923.62339275087,923.6774627241764,923.5744842259206,0.02721365046968,1057.5964004037503,1064.684185028079,1059.8854968782284,1054.9518501192424,1041.547487894696,1.2154796227379434,0.46871934321783565,38.228789105394604,0.042492663989438836,1.0,1.0,1.0
FT-098,1234.285360466548,1234.3584080913142,1234.2175489976564,0.0355276090628736,1298.978903962394,1315.1444068651524,1301.099355556177,1296.7371931063972,1285.3820376449771,1.0487614830989662,1.959315589887319,84.5591602457539,0.03876931311009589,1.0,1.0,1.0
FT-093,1233.7846794103978,1233.854648992817,1233.7185235688678,0.0352441991492743,1299.2759946740543,1319.445562362675,1301.19133468601,1296.8841705286684,1284.2519822328006,1.1438939901940073,1.0922544074045706,74.90883338100215,0.038386868122584974,1.0,1.0,1.0
FT-196,1079.2166019688184,1079.2799026126334,1079.1624727504054,0.0309298310255249,1212.162690219896,1228.1000091217345,1214.808575306565,1209.5278179587426,1198.610527541609,1.2535770652518865,0.7239012467348818,60.29849015089602,0.037942237186207095,1.0,1.0,1.0
FT-023,1373.9225103480585,1374.0029575632857,1373.8540674237456,0.0405870910542427,980.4212867734888,997.417253063569,983.3517791601566,977.5795583957146,968.2150490053244,1.401590404635891,2.072499098768788,76.78284271450622,0.037707697942863015,1.0,1.0,1.0
FT-029,1845.2657451181792,1845.3735977845588,1845.168910499205,0.0528826872786653,1070.965956893128,1085.9088605244974,1073.2973908373,1068.1964103160765,1063.1140670776354,1.2396830023498544,18.506350674534694,98.76413668711427,0.0371735822256449,0.9629629629629629,1.0,0.9230769230769231
FT-214,1560.5106879252833,1560.603218971056,1560.4389892318009,0.0469938642049179,1455.2785186733047,1469.0251868111725,1457.2718004475466,1453.2646538510369,1442.4326360793343,1.0442360641897566,7.7970125474001515,52.482322447312626,0.03533961206057639,0.9629629629629629,1.0,0.9615384615384616
FT-248,925.1361960129163,925.1837228035912,925.0919226799238,0.0243451612151024,1057.851741314575,1064.927979546626,1060.4905075149256,1055.485902411153,1046.1234902046797,1.3621188340795582,1.0910833816871512,53.80101718406296,0.03458755420739364,1.0,1.0,1.0
FT-199,1223.794329633322,1223.8477891740072,1223.7328858293467,0.0320895105058515,1273.4466422499067,1280.9673685186042,1276.269530388491,1270.7744681742668,1268.557216980878,1.2870284782640955,9.343306839671364,70.41284694232972,0.03293711247700206,1.0,1.0,0.9615384615384616
FT-247,1210.8237284316058,1210.891724017278,1210.7669821389634,0.0351758775228439,886.0371926968076,894.1140489578265,889.3313556931638,883.5432505380602,881.398349761962,1.3360069536514618,9.259623944351375,79.95129226613655,0.032076213952453185,1.0,1.0,1.0
FT-091,1251.314808260303,1251.384541992356,1251.24725487946,0.0341748074286253,1251.9082930023933,1258.873232105109,1254.3394561869425,1249.2792991497554,1243.48779943925,1.2740584064472709,2.292798588367786,91.7158513703656,0.031522596184416427,1.0,1.0,1.0
FT-014,843.583190546885,843.630050243499,843.5406553510771,0.0244139600441625,963.0868614775412,982.5703484671496,965.7982037305084,960.5184649981504,948.7611850277426,1.2901121418075123,0.8147888250768888,45.406332308703874,0.0314140461611533,1.0,1.0,1.0
FT-053,1097.723992703951,1097.786081052441,1097.6690565594126,0.0319027810183028,1176.67239430599,1190.5241737784906,1178.8370264710347,1174.3201926093266,1163.6889744852956,1.0738120033017726,1.1174841345390067,47.579823213539754,0.030514131631914673,1.0,1.0,1.0
FT-220,1098.2292261588002,1098.2904734059596,1098.173907533108,0.0325171901432204,1176.4712324222012,1189.1500946783274,1178.6797381441168,1173.8919929822691,1163.494515572824,1.1867773561182018,1.4375473950265667,53.74466319561524,0.029449521456096077,1.0,1.0,1.0
FT-197,1230.809519318578,1230.877912747094,1230.7412762209678,0.0353371808666718,1266.2292769123917,1275.864038013278,1268.9682879036254,1263.3943549090618,1256.566223871141,1.2845018900553564,7.655739783737897,68.82396650387822,0.02868434748328633,1.0,1.0,1.0
FT-083,1224.8042649657891,1224.876041896912,1224.7402364071952,0.0346338316722824,1299.2791674223463,1319.7385787963844,1301.3711060851224,1296.826881389742,1284.575736753402,1.191957931979993,0.9387053077240736,74.89612348491377,0.02703629540990472,1.0,1.0,1.0
FT-025,843.080105891697,843.1277631649815,843.0381621542712,0.0247628776573223,963.2439588234024,988.1751993200248,965.7639074749648,960.7361998439518,947.918078663588,1.3047236827776925,0.6772557925558386,43.36330516367071,0.02597129107956502,1.0,1.0,1.0
FT-043,1005.172041771252,1005.2308196005796,1005.1142487241556,0.029859711948434,1156.3855354906916,1177.111414619113,1158.8826604052406,1153.7486667864507,1140.2857042395556,1.3065927903911043,0.5875358056943721,21.77710832364355,0.024799278349789938,1.0,1.0,1.0
FT-079,1077.2093617269695,1077.2780627278853,1077.1457095383691,0.033821129808481,1186.4594094558372,1193.3994246262791,1189.5073639083237,1183.6673357354396,1179.0351316011868,1.4609631651882211,7.373143665116521,54.36531440694823,0.02466305772115804,1.0,0.8846153846153846,0.6923076923076923
FT-071,1150.7515985354444,1150.8216637168111,1150.6946579570076,0.0329001027792091,1279.6007579597722,1289.9491491550348,1281.8612304005794,1276.882566964393,1271.0001140687532,1.1438663349396818,2.2355618322495436,49.6206852302939,0.023567621766316386,1.0,1.0,1.0
FT-052,1069.2070748658969,1069.267262316396,1069.1527914655323,0.0310318689959965,1173.5811959662594,1189.0482915242503,1175.8907247598563,1171.315212620077,1163.561102549235,1.1500091708878202,0.8958715933481383,53.51914262179493,0.022743919578071477,1.0,1.0,1.0
FT-038,1025.690862799387,1025.7477618544551,1025.6366460844254,0.030538553488754,1107.23462155222,1121.1202767189984,1109.9813621005935,1104.387069581245,1102.96307424481,1.4209852699776997,1.4649347014868934,35.31808155470294,0.02263285053332497,1.0,1.0,1.0
FT-064,1149.7500936653876,1149.8156497776845,1149.6911692399551,0.0334466553795423,1245.272856166862,1264.3367644279238,1247.3079307712103,1242.858343825742,1228.9963999102197,1.170869750896996,0.6679847372948823,47.00358819834632,0.022533054862651204,1.0,1.0,1.0
FT-182,1026.1932694786867,1026.2519200407537,1026.1381214922203,0.0299624324206606,1095.4661545958722,1104.191831524452,1098.1953511608233,1092.7190611696617,1082.1188748820443,1.2733034739127342,0.8725444270127256,63.383682160815134,0.02066949807347202,1.0,1.0,1.0
